0,1,2,3,4,5,6,7,8,9,10
265.0,270.8958727659296,270.8999257833341,270.8999285695119,270.8999285714272,270.8999285714285,270.8999285714285,270.8999285714285,270.8999285714285,270.8999285714285,270.8999285714286
265.0,270.89185109409766,270.8999202344404,270.89992856378336,270.89992857142187,270.89992857142846,270.89992857142846,270.89992857142846,270.89992857142846,270.89992857142846,270.8999285714286
265.0,270.8878349456476,270.89991193233624,270.89992855235556,270.89992857140874,270.8999285714284,270.8999285714284,270.8999285714284,270.8999285714284,270.8999285714284,270.8999285714286
265.0,270.88382431108874,270.899900884592,270.8999285333489,270.89992857138253,270.8999285714283,270.89992857142835,270.89992857142835,270.89992857142835,270.89992857142835,270.8999285714286
265.0,270.87981918095056,270.8998870987602,270.8999285048915,270.8999285713368,270.8999285714282,270.8999285714283,270.8999285714283,270.8999285714283,270.8999285714283,270.8999285714286
265.0,270.8758195457821,270.89987058237483,270.8999284651192,270.89992857126373,270.899928571428,270.89992857142823,270.89992857142823,270.89992857142823,270.89992857142823,270.8999285714286
265.0,270.8718253961517,270.899851342952,270.89992841217577,270.8999285711544,270.8999285714278,270.8999285714282,270.8999285714282,270.8999285714282,270.8999285714282,270.8999285714286
265.0,270.86783672264676,270.8998293879896,270.89992834421247,270.89992857099855,270.89992857142744,270.8999285714281,270.8999285714281,270.8999285714281,270.8999285714281,270.8999285714286
265.0,270.86385351587353,270.8998047249676,270.8999282593883,270.8999285707846,270.8999285714269,270.89992857142806,270.89992857142806,270.89992857142806,270.89992857142806,270.8999285714286
265.0,270.8598757664568,270.89977736134796,270.8999281558699,270.89992857049975,270.89992857142624,270.899928571428,270.899928571428,270.899928571428,270.899928571428,270.8999285714286
265.0,270.8559034650401,270.8997473045746,270.89992803183156,270.89992857013004,270.8999285714253,270.89992857142795,270.89992857142795,270.89992857142795,270.89992857142795,270.8999285714286
265.0,270.85193660228515,270.89971456207354,270.89992788545516,270.89992856966023,270.89992857142397,270.8999285714279,270.8999285714279,270.8999285714279,270.8999285714279,270.8999285714286
265.0,270.84797516887187,270.8996791412531,270.8999277149302,270.89992856907384,270.89992857142227,270.89992857142784,270.89992857142784,270.89992857142784,270.89992857142784,270.8999285714286
265.0,270.8440191554985,270.89964104950377,270.89992751845364,270.8999285683532,270.8999285714201,270.8999285714278,270.8999285714278,270.8999285714278,270.8999285714278,270.8999285714286
